Feature,Mean Importance,Lower Bound,Upper Bound
min_diff,0.0,0.0,0.0
min_value,0.0,0.0,0.0
median,0.011645844596959706,0.0034436773291860834,0.019848011864733332
percentile_50,0.012203307776648893,0.00253992634076466,0.021866689212533128
iqr,0.027848652369374782,0.00884922601487181,0.04684807872387775
percentile_75,0.030510228755971328,0.011961668748198723,0.04905878876374393
percentile_25,0.031943116097028844,-0.023776355163884703,0.08766258735794238
range_value,0.03410232082118546,0.018797011025104594,0.04940763061726633
max_value,0.03907957323129506,0.02329088616153499,0.05486826030105513
sum_diff,0.046656041548561414,0.030347400716460773,0.06296468238066207
count,0.04684099782033054,0.02872421097620472,0.06495778466445637
std_deviation,0.04763856062706544,0.02603648716698366,0.0692406340871472
variance,0.04844839627533158,0.022335604803602728,0.07456118774706044
unique_count,0.05106056751658144,0.010920108476520057,0.09120102655664282
max_diff,0.05281973046845896,0.029995578485357367,0.07564388245156056
mean_diff,0.05367324715911939,0.033375936358009145,0.07397055796022964
kurtosis,0.07205968767768052,0.03951469149136805,0.10460468386399299
mean,0.07983068385692518,0.03171048338524923,0.1279508843286011
abs_skewness,0.10243564845763328,0.05868099937621054,0.14619029753905605
autocorr,0.21120339494384818,0.14051642716261864,0.2818903627250777
