Feature,Mean Importance,Lower Bound,Upper Bound
min_diff,0.0,0.0,0.0
min_value,0.0,0.0,0.0
median,0.0021479802799628496,0.00043275232581949314,0.0038632082341062057
percentile_50,0.002918986155849603,0.0003572713975428109,0.0054807009141563945
percentile_25,0.00407937996229117,0.0015715505775110398,0.006587209347071299
percentile_75,0.005394381000591366,0.003291297876457724,0.007497464124725007
iqr,0.0066165321097219326,0.0023995352533586083,0.010833528966085257
range_value,0.023779757862909513,0.01656063551401858,0.030998880211800445
unique_count,0.028900877731286127,0.015512583260454524,0.042289172202117725
variance,0.030293599338095382,0.01892931004698238,0.041657888629208384
max_value,0.03181385609629542,0.01748874590799182,0.046138966284599015
std_deviation,0.03236184423314583,0.018752470933397204,0.04597121753289446
autocorr,0.03927600138276935,0.026970039726687853,0.05158196303885085
mean,0.07177236805231785,0.045863592473567166,0.09768114363106853
max_diff,0.07253999483117285,0.022050115793050135,0.12302987386929556
count,0.08668812276069753,0.0674124077762585,0.10596383774513655
sum_diff,0.08961917221127765,0.06303690868222847,0.11620143574032682
mean_diff,0.13177678493666684,0.08285332420673752,0.18070024566659615
kurtosis,0.1590896461148069,0.0919862268629548,0.22619306536665895
abs_skewness,0.18093071494014185,0.11592498456892425,0.24593644531135944
