Feature,Mean Importance,Lower Bound,Upper Bound
min_diff,0.0,0.0,0.0
min_value,0.0,0.0,0.0
percentile_25,0.013042784695740868,0.006760781103219569,0.019324788288262167
percentile_50,0.022568364001218106,0.012940052389336468,0.032196675613099746
median,0.02306057642578971,0.012955050568885079,0.033166102282694336
percentile_75,0.023888100676917632,0.016453457381091944,0.03132274397274332
iqr,0.024756666246247325,0.01649138038537694,0.03302195210711771
std_deviation,0.032502044683398526,0.022622580967164768,0.042381508399632284
range_value,0.032524065259160365,0.021532835841718466,0.04351529467660226
variance,0.033419242082161335,0.02251421366823006,0.04432427049609261
max_value,0.03399598569266345,0.022275831200747418,0.04571614018457948
autocorr,0.048967213949930775,0.03321873356662791,0.06471569433323364
mean,0.050981872299192606,0.03131692687260657,0.07064681772577863
unique_count,0.05236503523154737,0.03322252773050942,0.07150754273258532
kurtosis,0.07758960154933234,0.04406518574931534,0.11111401734934934
abs_skewness,0.07955531466054296,0.0448485189078548,0.11426211041323112
max_diff,0.08161178150813779,0.04262240004963953,0.12060116296663605
sum_diff,0.09880517686029129,0.06485712849484276,0.13275322522573982
mean_diff,0.11374632941049674,0.06240024435770539,0.1650924144632881
count,0.15661984476723073,0.10568336544950802,0.20755632408495345
