Feature,Mean Importance,Lower Bound,Upper Bound
min_diff,0.0,0.0,0.0
min_value,0.0,0.0,0.0
percentile_50,0.007679092930346002,0.003510282216856966,0.011847903643835037
median,0.007848167829857287,0.004343045130499595,0.011353290529214978
percentile_25,0.010352804150049253,0.005407038621035216,0.01529856967906329
iqr,0.011603957381728973,0.007979473215885425,0.01522844154757252
percentile_75,0.015497442722623564,0.00867877527047446,0.022316110174772665
kurtosis,0.04653721835334193,0.03880357614210378,0.054270860564580095
mean_diff,0.04827414949275887,0.04072563405738666,0.05582266492813108
abs_skewness,0.05057268185746865,0.040037782616361664,0.061107581098575635
range_value,0.058151419505312565,0.041912049361788474,0.07439078964883666
max_value,0.06188662656828127,0.04190714610343503,0.08186610703312751
count,0.06304069922305941,0.052553368185898945,0.07352803026021988
sum_diff,0.06786001807469413,0.050749963978288286,0.08497007217109998
max_diff,0.06877657049242658,0.04448171076230249,0.09307143022255066
std_deviation,0.072052495484316,0.045554661247023585,0.0985503297216084
variance,0.07911706804627128,0.048705238586650504,0.10952889750589206
mean,0.08658749874076781,0.03254703578531804,0.14062796169621758
unique_count,0.10136105509739912,0.049945156183457455,0.15277695401134078
autocorr,0.14280103404929734,0.08732846423555407,0.1982736038630406
