Feature,Mean Importance,Lower Bound,Upper Bound
min_diff,0.0,0.0,0.0
min_value,0.0,0.0,0.0
iqr,0.012255665327618834,0.006922570764485953,0.017588759890751718
percentile_75,0.014505514328698392,0.006117837206227684,0.022893191451169102
median,0.01620641177450124,0.010528706668259172,0.02188411688074331
percentile_50,0.017817862018461156,0.01070323648501268,0.024932487551909632
max_value,0.02688156410479149,0.01792419481410141,0.03583893339548157
percentile_25,0.027117420214644486,0.007724699326892886,0.04651014110239608
range_value,0.028391074301646665,0.01926051497465232,0.03752163362864101
variance,0.0358024379243273,0.020504012196226468,0.051100863652428136
std_deviation,0.040356530949916494,0.021482284134626578,0.05923077776520641
unique_count,0.04324108416234317,0.02814064077167391,0.05834152755301243
autocorr,0.057503180721451996,0.029727549013838096,0.0852788124290659
mean,0.06054669476553089,0.026450533566579802,0.09464285596448198
kurtosis,0.0633579101970066,0.0364127155003143,0.0903031048936989
max_diff,0.09895922620371433,0.06636133100861497,0.1315571213988137
abs_skewness,0.10726358129466204,0.03017572138151836,0.18435144120780572
sum_diff,0.10937044212448291,0.08387219856918185,0.134868685679784
mean_diff,0.10959725357756248,0.07934303656192787,0.13985147059319708
count,0.13082614600863954,0.09565021606473363,0.16600207595254546
