Feature,Mean Importance,Lower Bound,Upper Bound
median,0.00418210966506566,0.003731182590626332,0.004633036739504989
percentile_50,0.0041939119871145444,0.003785849043568576,0.004601974930660513
min_diff,0.005582147569445831,0.004806050125001532,0.00635824501389013
mean,0.005744057778577394,0.005063007627982142,0.006425107929172645
percentile_25,0.007151856099278368,0.006301776506853795,0.008001935691702941
percentile_75,0.007395810887780271,0.006662708845619738,0.008128912929940803
max_value,0.013507682451096879,0.01208019971476827,0.014935165187425487
min_value,0.01482931673681349,0.01097222223945395,0.01868641123417303
kurtosis,0.015151130094243855,0.013581824698906331,0.016720435489581378
std_deviation,0.01750369647950121,0.014728969017533122,0.020278423941469295
variance,0.017962567239827164,0.014792945480941212,0.021132188998713115
abs_skewness,0.018753267214380843,0.017192489656590013,0.020314044772171674
iqr,0.0210419881463931,0.016199335032981467,0.025884641259804733
count,0.041081129003496794,0.029062992135935037,0.05309926587105855
mean_diff,0.04271525308971486,0.022630074525103436,0.06280043165432629
max_diff,0.04749435962616297,0.016962381305757335,0.0780263379465686
autocorr,0.09919062854014565,0.09231493647344184,0.10606632060684947
unique_count,0.11243214108455295,0.03888572035663089,0.18597856181247502
sum_diff,0.19084864782726438,0.1113556888128759,0.27034160684165287
range_value,0.3132382984791438,0.24154540028088906,0.38493119667739856
