sequenceID,min.log.lambda,max.log.lambda
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr1:206482221-223747846,7.52381856,9.578974877
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,8.592531277,11.40903044
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,7.839827149,11.99057148
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr12:145739-7189876,10.07891703,12.31172584
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr14:19050000-107289540,8.194315259,10.80759741
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr16:46510000-88389383,6.872618396,Inf
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr3:60000-66170270,8.668204897,10.15135993
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr4:75452279-190000000,10.19805867,12.19980389
ATAC_JV_adipose/samples/AC1/MSC77/problems/chrX:37148256-49242997,9.733561807,11.09221451
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr1:206482221-223747846,7.454860658,9.699903346
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr10:18024675-38818835,8.40042939,11.0777204
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr11:69774695-87688378,6.916484366,9.319608013
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr12:145739-7189876,9.759666701,12.09615403
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr14:19050000-107289540,7.463356721,8.661574142
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr16:46510000-88389383,7.146132914,9.307547433
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr4:75452279-190000000,10.27039505,12.03287968
ATAC_JV_adipose/samples/AC1/MSC80/problems/chrX:37148256-49242997,9.125760509,10.93425542
ATAC_JV_adipose/samples/AC1/MSC83/problems/chr10:18024675-38818835,9.03948634,10.83665896
ATAC_JV_adipose/samples/AC1/MSC83/problems/chr11:69774695-87688378,7.445862395,12.02846348
ATAC_JV_adipose/samples/AC1/MSC83/problems/chr12:145739-7189876,11.10544603,11.64987184
ATAC_JV_adipose/samples/AC1/MSC83/problems/chr14:19050000-107289540,7.729483569,10.65905683
ATAC_JV_adipose/samples/AC1/MSC83/problems/chr16:46510000-88389383,7.436467194,10.23178341
